#Default

; weapons.tbl
A jump drive causes a ship to vibrate in multiple dimensions until its modulations are in perfect synchronization with the subspace continuum. A vortex opens, creating an aperture from an infinitesimally small point in the cosmos, enabling the vessel to cross the subspace threshold. 

Two types of jumps are possible. 

First, an intrasystem jump can occur between two points in a star system. Most small, space-faring vessels are equipped with motivators capable of these short jumps. The presence of an intense gravitational field is required, prohibiting travel beyond the boundaries of a star system.

Second, ships can jump from system to system via nodes. Until the Great War, only larger ships could generate sufficient power to use jump nodes. The development of jump drives for fighters and bombers in 2335 enabled the Alliance to destroy the SD Lucifer in subspace. Producing these small jump drives is prohibitively expensive, so they are restricted to missions that require pilots to travel between systems. The Head-Up Display indicates the location of jump nodes with a green sphere.

The vast majority of subspace nodes are extremely unstable, forming and dissipating in nanoseconds. Other nodes have a longer lifespan, existing for centuries or millennia before collapsing. The jump nodes sanctioned by the GTVA for interstellar travel are expected to remain stable for many years."

; weapons.tbl

3243, "GTW Subach HL-7"

3244, "Standard Issue
Level 3 Hull Damage
Level 2 Shield Damage"

3245, "The Subach-Innes HL-7 is a xaser weapon, firing an intense, highly focused beam of x-ray emissions. Until the Shivans appeared with their shield technology, these weapons were considered an unnecessary and costly extravagance. But Great War dogfights against Shivan craft quickly taught the Allies that their ships didn't stand a chance unless they could punch through shields. The HL-7 works superbly against shields of all varieties and has become the standard issue Primary weapon for all Terran fighters and bombers."

3246, "GTW Subach HL-7"

3247, "Standard Issue
Level 3 Hull Damage
Level 3 Shield Damage"

3248, "Subach HL-7D"

3249, "The Subach-Innes HL-7 is a xaser weapon, firing an intense, highly focused beam of x-ray emissions. Until the Shivans appeared with their shield technology, these weapons were considered an unnecessary and costly extravagance. But Great War dogfights against Shivan craft quickly taught the Allies that their ships didn't stand a chance unless they could punch through shields. The HL-7 works superbly against shields of all varieties and has become the standard issue Primary weapon for all Terran fighters and bombers."

3250, "GTW Mekhu HL-7"

3251, "Standard Issue
Level 3 Hull Damage
Level 3 Shield Damage"

3252, "Mekhu HL-7"

3253, "The Mekhu HL-7 is the Vasudan re-engineered variant of the Subach HL-7 xaser. Modifications made to the design by engineers at Mekhu give it a higher firing rate and longer range than the original Terran version. These improvements come at the cost of a slight decrease in power output. This trade-off fits well with Vasudan military tactics, but most Terran pilots prefer the performance of the original weapon."

3254, "GTW Mekhu HL-7"

3255, "Standard Issue
Level 5 Hull Damage
Level 6 Shield Damage"

3256, "Mekhu HL-7D"

3257, "The Mekhu HL-7 is the Vasudan re-engineered variant of the Subach HL-7 xaser. Modifications made to the design by engineers at Mekhu give it a higher firing rate and longer range than the original Terran version. These improvements come at the cost of a slight decrease in power output. This trade-off fits well with Vasudan military tactics, but most Terran pilots prefer the performance of the original weapon."

3258, "GTW Akheton SDG"

3259, "Tactical Weapon
Subsystem Disruption"

3260, "GTW Akheton SDG"

3261, "The Vasudan-made Akheton SDG Advanced Disruptor was a direct result of the phenomenal success of GTA disruption weaponry in the Great War. The GTW-41x Advanced Disruptor subsequently underwent a retrofit and was pushed into mass production. With the exception of the Subach HL-7, more SDG units have been produced by the GTVA than any other weapon in history. The SDG is notorious for its demanding power requirements."

3262, "GTW ML-70 Morning Star"

3263, "Long-Range Tactical
Kinetic Weapon
"

3264, "GTW ML-70 Morning Star"

3265, "The GTW ML-70 Morning Star improves upon the performance of the Flail gun, which was developed during the Great War. The original Flail was  too expensive to mass produce, because of its limited usage/effectiveness profile. Recent advances in high-temperature optics enable the main focusing chamber of the Morning Star to produce a much more coherent beam, increasing its range and damage levels. This comes at the expense of somewhat higher energy requirements, however."

3266, "GTW ML-70 Morning Star D"

3267, "Long-Range Tactical
Kinetic Weapon
"

3268, "GTW ML-70 Morning Star"

3269, "The GTW ML-70 Morning Star improves upon the performance of the Flail gun, which was developed during the Great War. The original Flail was  too expensive to mass produce, because of its limited usage/effectiveness profile. Recent advances in high-temperature optics enable the main focusing chamber of the Morning Star to produce a much more coherent beam, increasing its range and damage levels. This comes at the expense of somewhat higher energy requirements, however."

3270, "GTW-5a Prometheus (retrofit) Cannon"

3271, "Medium Energy Usage
Level 4 Hull Damage
Level 1 Shield Damage"

3272, "GTW-5a Prometheus R"

3273, "The GTW-5a Prometheus R is a modified version of the original Prometheus weapon. With the link to Earth severed, the GTVA had been unable to obtain sufficient quantities of argon (a required element in the Prometheus's power-generation module) to continue to manufacture the standard Prometheus. GTVA engineers modified the original design to incorporate some of the advanced electromagnetic mechanisms of the Banshee. The technology has not been perfected, however, and the Prometheus R suffers from a long recharge cycle and high energy requirements."

3274, "GTW-5 Prometheus (standard) Cannon"

3275, "Medium Energy Usage
Level 5 Hull Damage
Level 4 Shield Damage"

3276, "GTW-5 Prometheus S"

3277, "The original GTW-5 Prometheus S was removed from service when the link to Earth was lost and the GTVA was unable to obtain sufficient quantities of argon (a required element in the Prometheus's power-generation module). Recent deployment of Anuket and Zephyrus gas miners has enabled us to resume production of the GTW-5 Prometheus S. The S-type is a minor variant of the original Prometheus laser cannon. The S-type's faster recharge cycle and lower energy drain cause many pilots to prefer it over the R variant."

3278, "GTW-5 Prometheus Cannon D"

3279, "Medium Energy Usage
Level 3 Hull Damage
Level 3 Shield Damage"

3280, "GTW-5 Prometheus S"

3281, "The original GTW-5 Prometheus S was removed from service when the link to Earth was lost and the GTVA was unable to obtain sufficient quantities of argon (a required element in the Prometheus's power-generation module). Recent deployment of Anuket and Zephyrus gas miners has enabled us to resume production of the GTW-5 Prometheus S. The S-type is a minor variant of the original Prometheus laser cannon. The S-type's faster recharge cycle and lower energy drain cause many pilots to prefer it over the R variant."

3282, "GTW-66 Maxim Cannon"

3283, "HiVel Weapon
Level 8 Hull Damage
Level 1 Shield Damage"

3284, "GTW-66 Maxim"

3285, "Reconstruction efforts after the Great War inspired advancements in metallurgy and efficient conventional explosives. The two are elegantly combined in the GTW-66 Maxim. The Maxim is by definition an energy weapon, though it behaves like a high-velocity mass-driver cannon, accelerating uranium slugs along its smoothbore barrel. The Maxim has a difficult time penetrating energy-based shields, but it has a devastating effect on hull plating and subsystem armor."

3286, "GTW-66 Maxim Cannon D"

3287, "HiVel Weapon
Level 5 Hull Damage
Level 1 Shield Damage"

3288, "GTW-66 Maxim"

3289, "Reconstruction efforts after the Great War inspired advancements in metallurgy and efficient conventional explosives. The two are elegantly combined in the GTW-66 Maxim. The Maxim is by definition an energy weapon, though it behaves like a high-velocity mass-driver cannon, accelerating uranium slugs along its smoothbore barrel. The Maxim has a difficult time penetrating energy-based shields, but it has a devastating effect on hull plating and subsystem armor."

3290, "GTW UD-8 Kayser"

3291, "Special Issue
Level 6 Hull Damage
Level 5 Shield Damage"

3292, "GTW UD-8 Kayser"

3293, "The GTW UD-8 Kayser is the result of an intensive study of Shivan weapon technology. The Kayser emits focused waves of subatomic particles that bombard its target. Impact causes the wave function of the particles to collapse and emit extremely intense, zero-point energy microbursts. Standard policy dictates that weapons of this magnitude be mounted only on bombers, but it has become common practice for field technicians to mount them on fighters."

3294, "GTW UD-8 Kayser"

3295, "Special Issue
Level 4 Hull Damage
Level 4 Shield Damage"

3296, "GTW UD-8 Kayser D"

3297, "The GTW UD-8 Kayser is the result of an intensive study of Shivan weapon technology. The Kayser emits focused waves of subatomic particles that bombard its target. Impact causes the wave function of the particles to collapse and emit extremely intense, zero-point energy microbursts. Standard policy dictates that weapons of this magnitude be mounted only on bombers, but it has become common practice for field technicians to mount them on fighters."

3298, "GTW-19 Circe"

3299, "Tactical Weapon
Level 6 Shield Damage"

3300, "GTW-19 Circe"

3301, "Derived from advanced electromagnetic weaponry, such as the Banshee, the GTW-19 Circe disrupts shield systems by focusing a barrage of widely varying EM harmonics upon its target. This energy is completely ineffective against any kind of armor plating or insulated subsystem. For this reason, the Circe is most effective when paired with a hull-damaging partner, such as the Maxim or Prometheus."

3302, "GTW-83 Lamprey"

3303, "
Tactical Weapon
Medium Energy Usage
Level 3 Shield Damage"

3304, "GTW-83 Lamprey"

3305, "The GTW-83 Lamprey cannon is a second-generation Leech gun. It drains the energy systems of its target, depleting the reserves available to the target's Primary weapons, shields, and engines. Coupled with a weapon that pummels both hull and shields, the Lamprey is highly effective against enemy fighters and bombers."

3306, "Targeting Laser"

3307, ""

3308, ""

3309, "GTM MX-64 Rockeye"

3310, "Standard Issue
Fire and Forget"

3311, "GTM MX-64 Rockeye"

3312, "The GTM MX-64 Rockeye is a faster, more accurate, larger payload version of the MX-50 that was in service at the beginning of the Great War. The missile developed as a result of experimentation by engineers at some of STX Exploration's most isolated mining operations, in the systems of Laramis and Luyten 726-BA. Advances in remote-controlled explosive devices were used by GTVA engineers to improve the old MX-50s. The heat-seeking MX-64 Rockeye is now a standard loadout for Terran fighter craft."

3313, "GTM MX-64 Rockeye"

3314, "Standard Issue
Fire and Forget"

3315, "GTM MX-64 Rockeye"

3316, "The GTM MX-64 Rockeye is a faster, more accurate, larger payload version of the MX-50 that was in service at the beginning of the Great War. The missile developed as a result of experimentation by engineers at some of STX Exploration's most isolated mining operations, in the systems of Laramis and Luyten 726-BA. Advances in remote-controlled explosive devices were used by GTVA engineers to improve the old MX-50s. The heat-seeking MX-64 Rockeye is now a standard loadout for Terran fighter craft."

3317, "GTM MX-6 Tempest Missile"

3318, "Standard Issue
High-Payload Dumbfire"

3319, "GTM MX-6 Tempest"

3320, "The GTM MX-6 Tempest improves upon its predecessor, the Fury missile. Faster and more deadly than the Fury, the Tempest is also smaller, enabling flight crews to load more into each Secondary weapon bay. The Tempest is a dumbfire missile, moving in a straight line from its point of release. The missile detonates when it strikes a solid object or when it reaches its effective range of approximately 600 meters. Tempests are best used at close range. With a velocity of 360 m/s, nothing outruns a Tempest."

3321, "GTM MX-6 Tempest Missile"

3322, "Standard Issue
High-Payload Dumbfire"

3323, "GTM MX-6 Tempest"

3324, "The GTM MX-6 Tempest improves upon its predecessor, the Fury missile. Faster and more deadly than the Fury, the Tempest is also smaller, enabling flight crews to load more into each Secondary weapon bay. The Tempest is a dumbfire missile, moving in a straight line from its point of release. The missile detonates when it strikes a solid object or when it reaches its effective range of approximately 600 meters. Tempests are best used at close range. With a velocity of 360 m/s, nothing outruns a Tempest."

3325, "GTM-4 Hornet Swarm Missile"

3326, "Standard Issue
Swarm Type
All-Purpose Missile"

3327, "GTM-4 Hornet"

3328, "The GTM-4 Hornet was showing its age even toward the end of the Great War, but it was cheap to manufacture. As a result, war-time production of the Hornet ran full-tilt at factories in eight star systems right up to the end of the war. After hostilities ceased, the GTVA found itself with an inventory of 2.6 million Hornet missiles. This stockpile has been spread among all GTVA battle groups, with each receiving at least 100,000 Hornets. This aspect-seeking missile still delivers a devastating four-missile punch, which makes it a consistent favorite of many pilots."

3329, "GTM-4 Hornet Swarm Missile"

3330, "Standard Issue
Swarm Type
All-Purpose Missile"

3331, "GTM-4 Hornet"

3332, "The GTM-4 Hornet was showing its age even toward the end of the Great War, but it was cheap to manufacture. As a result, war-time production of the Hornet ran full-tilt at factories in eight star systems right up to the end of the war. After hostilities ceased, the GTVA found itself with an inventory of 2.6 million Hornet missiles. This stockpile has been spread among all GTVA battle groups, with each receiving at least 100,000 Hornets. This aspect-seeking missile still delivers a devastating four-missile punch, which makes it a consistent favorite of many pilots."

3333, "GTM-4a Tornado Missile"

3334, "Prototype
Advanced Swarm Type
All-Purpose Missile
"

3335, "GTM-4a Tornado"

3336, "The GTM-4a Tornado is an upgrade to the Hornet missile. With improved fire control systems and guidance computers, the Tornado can be fired more rapidly and with greater accuracy than the Hornet. Though physically smaller than its predecessor, the Tornado launcher fires more rockets per volley, delivering a more devastating punch. Be advised that a Tornado missile will fail to arm its payload properly if aspect lock has not been achieved before firing."

3337, "GTM-4a Tornado Missile D"

3338, "Prototype
Advanced Swarm Type
All-Purpose Missile
"

3339, "GTM-4a Tornado D"

3340, "The GTM-4a Tornado is an upgrade to the Hornet missile. With improved fire control systems and guidance computers, the Tornado can be fired more rapidly and with greater accuracy than the Hornet. Though physically smaller than its predecessor, the Tornado launcher fires more rockets per volley, delivering a more devastating punch. Be advised that a Tornado missile will fail to arm its payload properly if aspect lock has not been achieved before firing."

3341, "GTM-19 Harpoon"

3342, "Standard Issue
Fast Target Lock"

3343, "GTM-19 Harpoon"

3344, "The GTM-19 Harpoon is the most sophisticated weapon in the GTVA arsenal. Not only is it the fastest aspect-seeking missile used by the fleet, but advanced fuzzy-logic circuitry enables it to gain lock faster than any other missile in its class. The missile's warhead is wrapped in a shell of ultra-dense depleted uranium, ensuring maximum penetration into the hull of its target before the warhead detonates."

3345, "GTM-19 Harpoon D"

3346, "Standard Issue
Fast Target Lock"

3347, "GTM-19 Harpoon"

3348, "The GTM-19 Harpoon is the most sophisticated weapon in the GTVA arsenal. Not only is it the fastest aspect-seeking missile used by the fleet, but advanced fuzzy-logic circuitry enables it to gain lock faster than any other missile in its class. The missile's warhead is wrapped in a shell of ultra-dense depleted uranium, ensuring maximum penetration into the hull of its target before the warhead detonates."

3349, "GTM-55 Trebuchet"

3350, "Prototype
Long-Range Anti-Bomber
High Payload"

3351, "GTM-55 Trebuchet"

3352, "The new GTM-55 Trebuchet was developed as a long-range, anti-bomber missile with an effective range of 4,000 meters. It also utilizes the latest in precision targeting technology for short lock times. The Trebuchet plays a vital role in defensive missions, enabling escort and patrol fighters to intercept incoming bombers without straying from the ship or emplacement under attack."

3353, "GTI TAG-A Missile"

3354, "Special Issue
Electronic Warfare"

3355, "GTI TAG-A Missile"

3356, "The TAG-A missile was conceived during the GTVI's top-secret stealth technology research projects. The missile was manufactured and swiftly pressed into service as a means of counteracting the sensor-disrupting effects of the recently discovered Knossos nebula. Upon impact with a hard surface, the TAG missile adheres and activates a small, short-lived electronic beacon. This beacon is powered by a small fuel cell with a usable lifetime of several seconds. During this time, it broadcasts location and targeting information to all friendly ships within range."

3357, "GTI TAG-B Missile"

3358, "Special Issue
Electronic Warfare"

3359, "GTI TAG-B Missile"

3360, "The TAG-B is an enhanced version of the standard TAG-A missile, also developed by GTVI laboratories. With a more shock-resistant substructure around its electronics package, the TAG-B is packed with ultra-sophisticated equipment to provide more useful targeting information to friendly forces. Massive retrofitting of GTVA ship turrets is underway to fully utilize this improved targeting technology."

3361, "GTI TAG-C Missile"

3362, "Special Issue
Electronic Warfare"

3363, "GTI TAG-C Missile"

3364, "The TAG-C is the third and final generation of TAG missiles developed by the GTI labs. This model provides greater reliability and compatibility with existing GTA turret hardware. Although these missiles are extremely scarce, tagging a target with one results in a devastating barrage from local friendly artillery. TAG-Cs have thus far been restricted to elite squadron use only."

3365, "GTM-10 Piranha"

3366, "Standard Issue
Area Effect
Fighter Suppresion Weapon"

3367, "GTM-10 Piranha"

3368, "A third-generation version of the old Synaptic and Havoc missiles, the GTM-10 Piranha provides bombers with a high-explosive anti-fighter screen. The Piranha is detonated remotely by pressing the Secondary weapon trigger a second time. This releases over a dozen small, heat-seeking missiles that attack any enemy vessel within range. This function makes the missile effective against incoming wings of fighters in close formation. The Piranha is now the standard issue defensive weapon for bombers attacking targets protected by close fighter cover."

3369, "GTM-43a Stiletto II"

3370, "Tactical Missile
Destroys Subsystems"

3371, "GTM-43a Stiletto II"

3372, "The GTM-43a Stiletto II improves upon the original Stiletto's design with higher acceleration and maximum velocity, better guidance system, and greater range. The Stiletto II, like its predecessor, is designed to incapacitate the subsystems of capital ships, homing in on the EM signature of the currently targeted subsystem."

3373, "GTM-11 Infyrno"

3374, "Standard Issue
Area Effect
Fighter Suppression Weapon"

3375, "GTM-11 Infyrno"

3376, "The GTM-11 Infyrno is an area-effect bomber suppression weapon, often employed to knock out incoming waves of slow-moving bombers. Upon detonation, the Infyrno releases multiple submunitions that contain ultra-high-explosive charges. The Infyrno is detonated remotely by pressing the Secondary weapon trigger a second time. A HUD indicator displays the distance from the warhead to the firing ship. If the pilot triggers the detonation too early, he risks being caught in the Infyrno's extensive blast radius."

3377, "GTM-11 Infyrno D"

3378, "Standard Issue
Area Effect
Fighter Suppression Weapon"

3379, "GTM-11 Infyrno"

3380, "The GTM-11 Infyrno is an area-effect bomber suppression weapon, often employed to knock out incoming waves of slow-moving bombers. Upon detonation, the Infyrno releases multiple submunitions that contain ultra-high-explosive charges. The Infyrno is detonated remotely by pressing the Secondary weapon trigger a second time. A HUD indicator displays the distance from the warhead to the firing ship. If the pilot triggers the detonation too early, he risks being caught in the Infyrno's extensive blast radius."

3381, "GTM-12 Cyclops"

3382, "Special Issue
Anti-Cruiser Bomb
Non-Conventional Warhead
"

3383, "GTM-12 Cyclops"

3384, "The GTM-12 Cyclops has been in service for over 15 years in the GTVA arsenal. It is the standard ultra-high-delivery Secondary weapon loadout, utilizing the latest in aspect-seeking guidance technologies. The Cyclops has the distinction of being the most consistently upgraded weapon in the fleet. Although its development began shortly after the Great War ended, its excellent performance has kept it firmly entrenched in the role of main assault weapon. Its payload is approximately fifty percent greater than that of the older Tsunami warheads."

3385, "GTM-12 Cyclops"

3386, "Special Issue
Anti-Cruiser Bomb
Non-Conventional Warhead
"

3387, "GTM-12 Cyclops"

3388, "The GTM-12 Cyclops has been in service for over 15 years in the GTVA arsenal. It is the standard ultra-high-delivery Secondary weapon loadout, utilizing the latest in aspect-seeking guidance technologies. The Cyclops has the distinction of being the most consistently upgraded weapon in the fleet. Although its development began shortly after the Great War ended, its excellent performance has kept it firmly entrenched in the role of main assault weapon. Its payload is approximately fifty percent greater than that of the older Tsunami warheads."

3389, "GRM-1"

3390, "Conventional Warhead
"

3391, "Standard issue bomb used by Rebel forces.  Thought to be ineffective against large targets."

3392, "GTM-13 Helios"

3393, "Special Issue
Anti-Capital Ship Weapon
Anti-Matter Torpedo"

3394, "GTM-13 Helios"

3395, "The GTM-13 Helios is the product of an entire generation of high-energy physics research, based primarily at the GTVA particle accelerator complex near Antares. The most powerful warhead in the fleet's arsenal, the Helios generates a massive shockwave from the cataclysmic annihilation of matter and anti-matter, triggered upon impact with its target. Each bank of Helios warheads can fire only once every 30 seconds. The Helios is prohibitively expensive to produce, thus its deployment is severely restricted."

3396, "GTM-14 EMP Adv."

3397, "Advanced Missile
Electromagnetic Pulse Weapon
General Purpose Suppression"

3398, "GTM-14 EM Pulse Adv."

3399, "The GTM-14 Electromagnetic Pulse Advanced warhead interferes with the electronics systems of vessels caught within its blast radius. This renders the affected ships unable to track targets, manage communications, or gain aspect missile lock. Tactically, the GTM-14 is a very effective anti-bomber weapon, as it also temporarily shuts down the guidance and propulsion systems of warheads in flight. This advanced version of the standard EM Pulse missile disrupts subsystems at a deeper circuitry level, resulting in a longer-lasting effect."

3400, "GTM MX-52"

3401, "Standard Issue
Fire and Forget"

3402, "GTM MX-52

Suitable for all space battles - defensive and offensive - medium payload (16.5 Kt) - infrared tracking and semi-intelligent targeting - pilot chooses desired target, and the MX-50 tracks the chosen target based off the emission of heat from the - engine, the weapon bays, and the cockpit of the target ship - the MX-50 will always attack a target that is determined to be hostile by the onboard computer of any GTA combat vessel, thus ensuring a higher kill rate, should the pilot find himself in a heated battle situation where precise aiming might be difficult.

Early experiments with energy based defenses like the deflector array at Ross 128 have shown that this weapon is exceedingly weak against anything besides steel based targets."

#End
